tweet_id,date,time,tweet_url,text,source,retweet_count,favorite_count,dog_name,dog_stage,dog_breed,final_ratings,jpg_url
666020888022790149,2015-11-15,22:32:08,https://twitter.com/dog_rates/status/666020888022790149/photo/1,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet,Twitter for iPhone,532,2535,,,Welsh Springer Spaniel,8.0,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg
666049248165822465,2015-11-16,00:24:50,https://twitter.com/dog_rates/status/666049248165822465/photo/1,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10,Twitter for iPhone,41,111,,,Miniature Pinscher,5.0,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg
666071193221509120,2015-11-16,01:52:02,https://twitter.com/dog_rates/status/666071193221509120/photo/1,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually,Twitter for iPhone,67,154,,,Gordon Setter,9.0,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg
666073100786774016,2015-11-16,01:59:36,https://twitter.com/dog_rates/status/666073100786774016/photo/1,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot,Twitter for iPhone,174,335,,,Walker Hound,10.0,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg
666082916733198337,2015-11-16,02:38:37,https://twitter.com/dog_rates/status/666082916733198337/photo/1,Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof,Twitter for iPhone,47,121,,,Pug,6.0,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg
666094000022159362,2015-11-16,03:22:39,https://twitter.com/dog_rates/status/666094000022159362/photo/1,This appears to be a Mongolian Presbyterian mix. Very tired. Tongue slip confirmed. 9/10 would lie down with,Twitter for iPhone,79,169,,,Bloodhound,9.0,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg
666099513787052032,2015-11-16,03:44:34,https://twitter.com/dog_rates/status/666099513787052032/photo/1,Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10,Twitter for iPhone,73,164,,,Lhasa,8.0,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg
666102155909144576,2015-11-16,03:55:04,https://twitter.com/dog_rates/status/666102155909144576/photo/1,Oh my. Here you are seeing an Adobe Setter giving birth to twins!!! The world is an amazing place. 11/10,Twitter for iPhone,16,81,,,English Setter,11.0,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg
666104133288665088,2015-11-16,04:02:55,https://twitter.com/dog_rates/status/666104133288665088/photo/1,Not familiar with this breed. No tail (weird). Only 2 legs. Doesn't bark. Surprisingly quick. Shits eggs. 1/10,Twitter for iPhone,6871,14765,,,Hen,1.0,https://pbs.twimg.com/media/CT56LSZWoAAlJj2.jpg
666268910803644416,2015-11-16,14:57:41,https://twitter.com/dog_rates/status/666268910803644416/photo/1,Very concerned about fellow dog trapped in computer. 10/10,Twitter for iPhone,37,108,,,Desktop Computer,10.0,https://pbs.twimg.com/media/CT8QCd1WEAADXws.jpg
666273097616637952,2015-11-16,15:14:19,https://twitter.com/dog_rates/status/666273097616637952/photo/1,Can take selfies 11/10,Twitter for iPhone,82,184,,,Italian Greyhound,11.0,https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg
666345417576210432,2015-11-16,20:01:42,https://twitter.com/dog_rates/status/666345417576210432/photo/1,Look at this jokester thinking seat belt laws don't apply to him. Great tongue tho 10/10,Twitter for iPhone,146,307,,,Golden Retriever,10.0,https://pbs.twimg.com/media/CT9Vn7PWoAA_ZCM.jpg
666353288456101888,2015-11-16,20:32:58,https://twitter.com/dog_rates/status/666353288456101888/photo/1,Here we have a mixed Asiago from the Galápagos Islands. Only one ear working. Big fan of marijuana carpet. 8/10,Twitter for iPhone,77,229,,,Malamute,8.0,https://pbs.twimg.com/media/CT9cx0tUEAAhNN_.jpg
666362758909284353,2015-11-16,21:10:36,https://twitter.com/dog_rates/status/666362758909284353/photo/1,Unique dog here. Very small. Lives in container of Frosted Flakes (?). Short legs. Must be rare 6/10 would still pet,Twitter for iPhone,595,804,,,Guinea Pig,6.0,https://pbs.twimg.com/media/CT9lXGsUcAAyUFt.jpg
666373753744588802,2015-11-16,21:54:18,https://twitter.com/dog_rates/status/666373753744588802/photo/1,Those are sunglasses and a jean jacket. 11/10 dog cool af,Twitter for iPhone,100,194,,,Soft-Coated Wheaten Terrier,11.0,https://pbs.twimg.com/media/CT9vZEYWUAAlZ05.jpg
666396247373291520,2015-11-16,23:23:41,https://twitter.com/dog_rates/status/666396247373291520/photo/1,Oh goodness. A super rare northeast Qdoba kangaroo mix. Massive feet. No pouch (disappointing). Seems alert. 9/10,Twitter for iPhone,92,172,,,Chihuahua,9.0,https://pbs.twimg.com/media/CT-D2ZHWIAA3gK1.jpg
666418789513326592,2015-11-17,00:53:15,https://twitter.com/dog_rates/status/666418789513326592/photo/1,This is Walter. He is an Alaskan Terrapin. Loves outdated bandanas. One ear still working. Cool house plant. 10/10,Twitter for iPhone,48,129,Walter,,Toy Terrier,10.0,https://pbs.twimg.com/media/CT-YWb7U8AA7QnN.jpg
666421158376562688,2015-11-17,01:02:40,https://twitter.com/dog_rates/status/666421158376562688/photo/1,*internally screaming* 12/10,Twitter for iPhone,118,327,,,Blenheim Spaniel,12.0,https://pbs.twimg.com/media/CT-aggCXAAIMfT3.jpg
666428276349472768,2015-11-17,01:30:57,https://twitter.com/dog_rates/status/666428276349472768/photo/1,Here we have an Austrian Pulitzer. Collectors edition. Levitates (?). 7/10 would garden with,Twitter for iPhone,90,171,,,Pembroke,7.0,https://pbs.twimg.com/media/CT-g-0DUwAEQdSn.jpg
666430724426358785,2015-11-17,01:40:41,https://twitter.com/dog_rates/status/666430724426358785/photo/1,Oh boy what a pup! Sunglasses take this one to the next level. Weirdly folds front legs. Pretty big. 6/10,Twitter for iPhone,204,330,,,Llama,6.0,https://pbs.twimg.com/media/CT-jNYqW4AAPi2M.jpg
666435652385423360,2015-11-17,02:00:15,https://twitter.com/dog_rates/status/666435652385423360/photo/1,"""Can you behave? You're ruining my wedding day""
DOG: idgaf this flashlight tastes good as hell

10/10",Twitter for iPhone,54,170,,,Chesapeake Bay Retriever,10.0,https://pbs.twimg.com/media/CT-nsTQWEAEkyDn.jpg
666437273139982337,2015-11-17,02:06:42,https://twitter.com/dog_rates/status/666437273139982337/photo/1,Here we see a lone northeastern Cumberbatch. Half ladybug. Only builds with bricks. Very confident with body. 7/10,Twitter for iPhone,52,131,,,Chihuahua,7.0,https://pbs.twimg.com/media/CT-pKmRWIAAxUWj.jpg
666447344410484738,2015-11-17,02:46:43,https://twitter.com/dog_rates/status/666447344410484738/photo/1,This is Scout. She is a black Downton Abbey. Isn't afraid to get dirty. 9/10 nothing bad to say,Twitter for iPhone,23,107,Scout,,Curly-Coated Retriever,9.0,https://pbs.twimg.com/media/CT-yU5QWwAEjLX5.jpg
666454714377183233,2015-11-17,03:16:00,https://twitter.com/dog_rates/status/666454714377183233/photo/1,I'll name the dogs from now on. This is Kreggory. He does parkour. 10/10,Twitter for iPhone,223,545,Kreggory,,Dalmatian,10.0,https://pbs.twimg.com/media/CT-5Bs-WUAA2JeC.jpg
666644823164719104,2015-11-17,15:51:26,https://twitter.com/dog_rates/status/666644823164719104/photo/1,This is Jimothy. He is a Botwanian Gouda. Can write (impressive). Very erect tail. Still looking for hoco date. 9/10,Twitter for iPhone,88,238,Jimothy,,Ibizan Hound,9.0,https://pbs.twimg.com/media/CUBl6IwVAAA9_zT.jpg
666649482315059201,2015-11-17,16:09:56,https://twitter.com/dog_rates/status/666649482315059201/photo/1,Cool dog. Enjoys couch. Low monotone bark. Very nice kicks. Pisses milk (must be rare). Can't go down stairs. 4/10,Twitter for iPhone,608,923,,,Border Collie,4.0,https://pbs.twimg.com/media/CUBqKnLWwAA5OQB.jpg
666691418707132416,2015-11-17,18:56:35,https://twitter.com/dog_rates/status/666691418707132416/photo/1,This is Christoper. He is a spotted Penne. Can easily navigate stairs. 8/10,Twitter for iPhone,51,196,Christoper,,German Shepherd,8.0,https://pbs.twimg.com/media/CUCQTpEWEAA7EDz.jpg
666739327293083650,2015-11-17,22:06:57,https://twitter.com/dog_rates/status/666739327293083650/photo/1,This is Lugan. He is a Bohemian Rhapsody. Very confused dog. Thinks his name is Rocky. Not amused by the snows 10/10,Twitter for iPhone,71,244,Lugan,,Miniature Poodle,10.0,https://pbs.twimg.com/media/CUC74aTWoAInZey.jpg
666776908487630848,2015-11-18,00:36:17,https://twitter.com/dog_rates/status/666776908487630848/photo/1,This is Josep. He is a Rye Manganese mix. Can drive w eyes closed. Very irresponsible. Menace on the roadways. 5/10,Twitter for iPhone,186,368,Josep,,Seat Belt,5.0,https://pbs.twimg.com/media/CUDeDoWUYAAD-EM.jpg
666786068205871104,2015-11-18,01:12:41,https://twitter.com/dog_rates/status/666786068205871104/photo/1,Unfamiliar with this breed. Ears pointy af. Won't let go of seashell. Won't eat kibble. Not very fast. Bad dog 2/10,Twitter for iPhone,521,800,,,Snail,2.0,https://pbs.twimg.com/media/CUDmZIkWcAAIPPe.jpg
666804364988780544,2015-11-18,02:25:23,https://twitter.com/dog_rates/status/666804364988780544/photo/1,This is Jockson. He is a Pinnacle Sagittarius. Fancy bandana. Enjoys lightly sucking on hot dog in nature. 8/10,Twitter for iPhone,95,250,Jockson,,English Setter,8.0,https://pbs.twimg.com/media/CUD3A7YWoAA82N0.jpg
666817836334096384,2015-11-18,03:18:55,https://twitter.com/dog_rates/status/666817836334096384/photo/1,This is Jeph. He is a German Boston Shuttlecock. Enjoys couch. Lost body during French Revolution. True hero 9/10,Twitter for iPhone,267,540,Jeph,,Miniature Schnauzer,9.0,https://pbs.twimg.com/media/CUEDSMEWEAAuXVZ.jpg
666826780179869698,2015-11-18,03:54:28,https://twitter.com/dog_rates/status/666826780179869698/photo/1,12/10 simply brilliant pup,Twitter for iPhone,105,266,,,Maltese Dog,12.0,https://pbs.twimg.com/media/CUELa0NUkAAscGC.jpg
666835007768551424,2015-11-18,04:27:09,https://twitter.com/dog_rates/status/666835007768551424/photo/1,These are Peruvian Feldspars. Their names are Cupit and Prencer. Both resemble Rand Paul. Sick outfits 10/10 &amp; 10/10,Twitter for iPhone,83,222,,,Airedale,10.0,https://pbs.twimg.com/media/CUES51dXIAEahyG.jpg
666837028449972224,2015-11-18,04:35:11,https://twitter.com/dog_rates/status/666837028449972224/photo/1,My goodness. Very rare dog here. Large. Tail dangerous. Kinda fat. Only eats leaves. Doesn't come when called 3/10,Twitter for iPhone,584,857,,,Triceratops,3.0,https://pbs.twimg.com/media/CUEUva1WsAA2jPb.jpg
666996132027977728,2015-11-18,15:07:24,https://twitter.com/dog_rates/status/666996132027977728/photo/1,This is Carll. He wants to be a donkey. But also a soccer star. Dreams big. 10/10,Twitter for iPhone,102,258,Carll,,Hay,10.0,https://pbs.twimg.com/media/CUGlb6iUwAITEbW.jpg
667012601033924608,2015-11-18,16:12:51,https://twitter.com/dog_rates/status/667012601033924608/photo/1,This is Klevin. He laughs a lot. Very cool dog. 9/10,Twitter for iPhone,237,471,Klevin,,Hyena,9.0,https://pbs.twimg.com/media/CUG0bC0U8AAw2su.jpg
667044094246576128,2015-11-18,18:17:59,https://twitter.com/dog_rates/status/667044094246576128/photo/1,12/10 gimme now,Twitter for iPhone,54,198,,,Golden Retriever,12.0,https://pbs.twimg.com/media/CUHREBXXAAE6A9b.jpg
667062181243039745,2015-11-18,19:29:52,https://twitter.com/dog_rates/status/667062181243039745/photo/1,This is Keet. He is a Floridian Amukamara. Absolutely epic propeller hat. Pristine tongue. Nice plaid. 10/10,Twitter for iPhone,57,227,Keet,,Chesapeake Bay Retriever,10.0,https://pbs.twimg.com/media/CUHhgvHUAAA4aB0.jpg
667065535570550784,2015-11-18,19:43:11,https://twitter.com/dog_rates/status/667065535570550784/photo/1,Here we have a Hufflepuff. Loves vest. Eyes wide af. Flaccid tail. Matches carpet. Always a little blurry. 8/10,Twitter for iPhone,51,175,,,Jigsaw Puzzle,8.0,https://pbs.twimg.com/media/CUHkkJpXIAA2w3n.jpg
667073648344346624,2015-11-18,20:15:26,https://twitter.com/dog_rates/status/667073648344346624/photo/1,Here is Dave. He is actually just a skinny legged seal. Happy birthday Dave. 10/10,Twitter for iPhone,134,425,Dave,,Chihuahua,10.0,https://pbs.twimg.com/media/CUHr8WbWEAEBPgf.jpg
667090893657276420,2015-11-18,21:23:57,https://twitter.com/dog_rates/status/667090893657276420/photo/1,This is Clybe. He is an Anemone Valdez. One ear works. Can look in 2 different directions at once. Tongue slip. 7/10,Twitter for iPhone,132,349,Clybe,,Chihuahua,7.0,https://pbs.twimg.com/media/CUH7oLuUsAELWib.jpg
667119796878725120,2015-11-18,23:18:48,https://twitter.com/dog_rates/status/667119796878725120/photo/1,This is Gabe. He is a southern Baklava. Gabe has always wanted to fit in with the other bananas. 10/10 fabulous,Twitter for iPhone,135,346,Gabe,,Pembroke,10.0,https://pbs.twimg.com/media/CUIV6F7XIAA1tAM.jpg
667138269671505920,2015-11-19,00:32:12,https://twitter.com/dog_rates/status/667138269671505920/photo/1,Extremely intelligent dog here. Has learned to walk like human. Even has his own dog. Very impressive 10/10,Twitter for iPhone,2387,4851,,,West Highland White Terrier,10.0,https://pbs.twimg.com/media/CUImtzEVAAAZNJo.jpg
667152164079423490,2015-11-19,01:27:25,https://twitter.com/dog_rates/status/667152164079423490/photo/1,This is Pipsy. He is a fluffball. Enjoys traveling the sea &amp; getting tangled in leash. 12/10 I would kill for Pipsy,Twitter for iPhone,18285,49720,Pipsy,,Toy Poodle,12.0,https://pbs.twimg.com/media/CUIzWk_UwAAfUNq.jpg
667160273090932737,2015-11-19,01:59:39,https://twitter.com/dog_rates/status/667160273090932737/photo/1,This is Bradlay. He is a Ronaldinho Matsuyama mix. Can also mountain bike (wow). Loves that blue light lime. 11/10,Twitter for iPhone,66,268,Bradlay,,Golden Retriever,11.0,https://pbs.twimg.com/media/CUI6uuaW4AAvCIs.jpg
667165590075940865,2015-11-19,02:20:46,https://twitter.com/dog_rates/status/667165590075940865/photo/1,This is Churlie. AKA Fetty Woof. Lost eye saving a school bus full of toddlers from a tsunami. Great guy. 10/10,Twitter for iPhone,1241,2819,Churlie,,Miniature Pinscher,10.0,https://pbs.twimg.com/media/CUI_kHBWsAAAef5.jpg
667171260800061440,2015-11-19,02:43:18,https://twitter.com/dog_rates/status/667171260800061440/photo/1,Say hello to Kenneth. He likes Reese's Puffs. 10/10,Twitter for iPhone,97,235,Kenneth,,Giant Schnauzer,10.0,https://pbs.twimg.com/media/CUJEuRIXIAAPDLt.jpg
667174963120574464,2015-11-19,02:58:01,https://twitter.com/dog_rates/status/667174963120574464/photo/1,"This is Clarence. His face says he doesn't want to be a donkey, but his tail is super pumped about it. 9/10",Twitter for iPhone,88,262,Clarence,,Toy Poodle,9.0,https://pbs.twimg.com/media/CUJIFoJWsAAL3Dc.jpg
667176164155375616,2015-11-19,03:02:47,https://twitter.com/dog_rates/status/667176164155375616/photo/1,These are strange dogs. All have toupees. Long neck for dogs. In a shed of sorts? Work in groups? 4/10 still petable,Twitter for iPhone,484,640,,,Soft-Coated Wheaten Terrier,4.0,https://pbs.twimg.com/media/CUJJLtWWsAE-go5.jpg
667182792070062081,2015-11-19,03:29:07,https://twitter.com/dog_rates/status/667182792070062081/photo/1,This is Timison. He just told an awful joke but is still hanging on to the hope that you'll laugh with him. 10/10,Twitter for iPhone,6618,15075,Timison,,Golden Retriever,10.0,https://pbs.twimg.com/media/CUJPNjOWsAAZRqP.jpg
667188689915760640,2015-11-19,03:52:34,https://twitter.com/dog_rates/status/667188689915760640/photo/1,Quite an advanced dog here. Impressively dressed for canine. Has weapon. About to take out trash. 10/10 good dog,Twitter for iPhone,449,784,,,Vacuum,10.0,https://pbs.twimg.com/media/CUJUk2iWUAAVtOv.jpg
667192066997374976,2015-11-19,04:05:59,https://twitter.com/dog_rates/status/667192066997374976/photo/1,*takes several long deep breaths* omg omg oMG OMG OMG OMGSJYBSNDUYWJO 12/10,Twitter for iPhone,115,414,,,Rottweiler,12.0,https://pbs.twimg.com/media/CUJXpRBXIAAN0yz.jpg
667200525029539841,2015-11-19,04:39:35,https://twitter.com/dog_rates/status/667200525029539841/photo/1,This is Joshwa. He is a fuckboy supreme. He clearly relies on owner but doesn't respect them. Dreamy eyes tho 11/10,Twitter for iPhone,282,658,Joshwa,,Siberian Husky,11.0,https://pbs.twimg.com/media/CUJfVMPXIAAgbue.jpg
667211855547486208,2015-11-19,05:24:37,https://twitter.com/dog_rates/status/667211855547486208/photo/1,This is Genevieve. She is a golden retriever cocktail mix. Comfortable close to wall. Shows no emotions. 9/10,Twitter for iPhone,258,516,Genevieve,,Golden Retriever,9.0,https://pbs.twimg.com/media/CUJppKJWoAA75NP.jpg
667369227918143488,2015-11-19,15:49:57,https://twitter.com/dog_rates/status/667369227918143488/photo/1,Here we have a neat pup. Very white. Cool shades. Upcoming cruise? Great dog 10/10,Twitter for iPhone,173,385,,,Teddy,10.0,https://pbs.twimg.com/media/CUL4xR9UkAEdlJ6.jpg
667393430834667520,2015-11-19,17:26:08,https://twitter.com/dog_rates/status/667393430834667520/photo/1,This is Fwed. He is a Canadian Asian Taylormade. Was having a blast until pink spiky football attacked. 8/10,Twitter for iPhone,60,211,Fwed,,Papillon,8.0,https://pbs.twimg.com/media/CUMOyd3XIAAl13H.jpg
667405339315146752,2015-11-19,18:13:27,https://twitter.com/dog_rates/status/667405339315146752/photo/1,This is Biden. Biden just tripped... 7/10,Twitter for iPhone,234,489,Biden,,Saint Bernard,7.0,https://pbs.twimg.com/media/CUMZnmhUEAEbtis.jpg
667435689202614272,2015-11-19,20:14:03,https://twitter.com/dog_rates/status/667435689202614272/photo/1,Ermergerd 12/10,Twitter for iPhone,89,326,,,Rottweiler,12.0,https://pbs.twimg.com/media/CUM1OHCW4AEgGSi.jpg
667437278097252352,2015-11-19,20:20:22,https://twitter.com/dog_rates/status/667437278097252352/photo/1,Never seen this breed before. Very pointy pup. Hurts when you cuddle. Still cute tho. 10/10,Twitter for iPhone,257,483,,,Porcupine,10.0,https://pbs.twimg.com/media/CUM2qWaWoAUZ06L.jpg
667443425659232256,2015-11-19,20:44:47,https://twitter.com/dog_rates/status/667443425659232256/photo/1,Exotic dog here. Long neck. Weird paws. Obsessed with bread. Waddles. Flies sometimes (wow!). Very happy dog. 6/10,Twitter for iPhone,620,833,,,Goose,6.0,https://pbs.twimg.com/media/CUM8QZwW4AAVsBl.jpg
667453023279554560,2015-11-19,21:22:56,https://twitter.com/dog_rates/status/667453023279554560/photo/1,Meet Cupcake. I would do unspeakable things for Cupcake. 11/10,Twitter Web Client,96,327,Cupcake,,Labrador Retriever,11.0,https://pbs.twimg.com/media/CUNE_OSUwAAdHhX.jpg
667455448082227200,2015-11-19,21:32:34,https://twitter.com/dog_rates/status/667455448082227200/photo/1,This is Reese and Twips. Reese protects Twips. Both think they're too good for seat belts. Simply reckless. 7/10s,Twitter Web Client,66,203,Reese,,Tibetan Terrier,7.0,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg
667491009379606528,2015-11-19,23:53:52,https://twitter.com/dog_rates/status/667491009379606528/photo/1,Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10,Twitter Web Client,242,559,,,Borzoi,7.0,https://pbs.twimg.com/media/CUNniSlUYAEj1Jl.jpg
667495797102141441,2015-11-20,00:12:54,https://twitter.com/dog_rates/status/667495797102141441/photo/1,This is Philippe from Soviet Russia. Commanding leader. Misplaced other boot. Hung flag himself. 9/10 charismatic af,Twitter Web Client,294,565,Philippe,,Chihuahua,9.0,https://pbs.twimg.com/media/CUNr4-7UwAAg2lq.jpg
667502640335572993,2015-11-20,00:40:05,https://twitter.com/dog_rates/status/667502640335572993/photo/1,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s,Twitter Web Client,231,563,Hall,,Labrador Retriever,11.0,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg
667509364010450944,2015-11-20,01:06:48,https://twitter.com/dog_rates/status/667509364010450944/photo/1,This a Norwegian Pewterschmidt named Tickles. Ears for days. 12/10 I care deeply for Tickles,Twitter Web Client,2272,7148,,,Beagle,12.0,https://pbs.twimg.com/media/CUN4Or5UAAAa5K4.jpg
667517642048163840,2015-11-20,01:39:42,https://twitter.com/dog_rates/status/667517642048163840/photo/1,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s,Twitter Web Client,203,389,Dook,,Italian Greyhound,8.0,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg
667524857454854144,2015-11-20,02:08:22,https://twitter.com/dog_rates/status/667524857454854144/photo/1,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup,Twitter Web Client,1198,1798,,,Hare,12.0,https://pbs.twimg.com/media/CUOGUfJW4AA_eni.jpg
667530908589760512,2015-11-20,02:32:25,https://twitter.com/dog_rates/status/667530908589760512/photo/1,"Meet Naphaniel. He doesn't necessarily enjoy his day job, but he's damn good at it. 10/10",Twitter Web Client,264,501,Naphaniel,,Golden Retriever,10.0,https://pbs.twimg.com/media/CUOL0uGUkAAx7yh.jpg
667534815156183040,2015-11-20,02:47:56,https://twitter.com/dog_rates/status/667534815156183040/photo/1,"This is Frank (pronounced ""Fronq""). Too many boxing gloves, not enough passion. Frank is a lover not a fighter. 8/10",Twitter Web Client,576,866,Frank,,Pembroke,8.0,https://pbs.twimg.com/media/CUOPYI5UcAAj_nO.jpg
667544320556335104,2015-11-20,03:25:43,https://twitter.com/dog_rates/status/667544320556335104/photo/1,"This is Kial. Kial is either wearing a cape, which would be rad, or flashing us, which would be rude. 10/10 or 4/10",Twitter Web Client,568,917,Kial,,Pomeranian,10.0,https://pbs.twimg.com/media/CUOYBbbWIAAXQGU.jpg
667546741521195010,2015-11-20,03:35:20,https://twitter.com/dog_rates/status/667546741521195010/photo/1,Here is George. George took a selfie of his new man bun and that is downright epic. (Also looks like Rand Paul) 9/10,Twitter Web Client,138,355,George,,Toy Poodle,9.0,https://pbs.twimg.com/media/CUOaOWXWcAA0_Jy.jpg
